Rating,ID,Title,Title Slug,Difficulty,premium,status
2220.0903365738,2223,Sum of Scores of Built Strings,sum-of-scores-of-built-strings,Hard,False,
2219.3465296423,2167,Minimum Time to Remove All Cars Containing Illegal Goods,minimum-time-to-remove-all-cars-containing-illegal-goods,Hard,False,
2217.8090802563,2025,Maximum Number of Ways to Partition an Array,maximum-number-of-ways-to-partition-an-array,Hard,False,
2215.7283064325,3102,Minimize Manhattan Distances,minimize-manhattan-distances,Hard,False,
2214.4798747386,1889,Minimum Space Wasted From Packaging,minimum-space-wasted-from-packaging,Hard,False,
2210.3503183571,992,Subarrays with K Different Integers,subarrays-with-k-different-integers,Hard,False,
2209.8815936961,2081,Sum of k-Mirror Numbers,sum-of-k-mirror-numbers,Hard,False,
2209.8785430371,2876,Count Visited Nodes in a Directed Graph,count-visited-nodes-in-a-directed-graph,Hard,False,
2208.5532172086,1568,Minimum Number of Days to Disconnect Island,minimum-number-of-days-to-disconnect-island,Hard,False,
2207.8565809952,1649,Create Sorted Array through Instructions,create-sorted-array-through-instructions,Hard,False,
2207.4917475411,2835,Minimum Operations to Form Subsequence With Target Sum,minimum-operations-to-form-subsequence-with-target-sum,Hard,False,
2205.4304373587,1157,Online Majority Element In Subarray,online-majority-element-in-subarray,Hard,False,
2204.3524370174,879,Profitable Schemes,profitable-schemes,Hard,False,
2203.5694828019,2781,Length of the Longest Valid Substring,length-of-the-longest-valid-substring,Hard,False,
2203.1738850937,1246,Palindrome Removal,palindrome-removal,Hard,True,
2201.8209584221,1453,Maximum Number of Darts Inside of a Circular Dartboard,maximum-number-of-darts-inside-of-a-circular-dartboard,Hard,False,
2201.6219336792,2045,Second Minimum Time to Reach Destination,second-minimum-time-to-reach-destination,Hard,False,
2200.6623666057,847,Shortest Path Visiting All Nodes,shortest-path-visiting-all-nodes,Hard,False,
2200.1171591946,3129,Find All Possible Stable Binary Arrays I,find-all-possible-stable-binary-arrays-i,Medium,False,
2198.4642973466,1739,Building Boxes,building-boxes,Hard,False,
2198.3290662783,1621,Number of Sets of K Non-Overlapping Line Segments,number-of-sets-of-k-non-overlapping-line-segments,Medium,False,
2197.0951445919,834,Sum of Distances in Tree,sum-of-distances-in-tree,Hard,False,
2195.6540241654,2503,Maximum Number of Points From Grid Queries,maximum-number-of-points-from-grid-queries,Hard,False,
2190.1757477854,1478,Allocate Mailboxes,allocate-mailboxes,Hard,False,
2189.3802630548,1074,Number of Submatrices That Sum to Target,number-of-submatrices-that-sum-to-target,Hard,False,
2185.5444704515,943,Find the Shortest Superstring,find-the-shortest-superstring,Hard,False,
2184.5241011615,1081,Smallest Subsequence of Distinct Characters,smallest-subsequence-of-distinct-characters,Medium,False,
2182.6180030785,891,Sum of Subsequence Widths,sum-of-subsequence-widths,Hard,False,
2182.054452981,1771,Maximize Palindrome Length From Subsequences,maximize-palindrome-length-from-subsequences,Hard,False,
2181.7821188042,1912,Design Movie Rental System,design-movie-rental-system,Hard,False,
2178.4249114144,2065,Maximum Path Quality of a Graph,maximum-path-quality-of-a-graph,Hard,False,
2175.7874705227,2768,Number of Black Blocks,number-of-black-blocks,Medium,False,
2175.6850426027,1420,Build Array Where You Can Find The Maximum Exactly K Comparisons,build-array-where-you-can-find-the-maximum-exactly-k-comparisons,Hard,False,
